residence	current_location	blood_group	job	mail	user_id	birthdate	company	name	username	ssn	registration	station_ID
	(Decimal('58.1268655'), Decimal('-123.118490'))	O+		taichitanaka@gmail.com	1785	1912-03-30	藤田情報有限会社	坂本 淳	nakagawatsubasa	178-83-5471	2024/05/03	487
		B-		shethur@yahoo.de	128	1997-07-20	Haase Henschel AG	Wieland Jacobi Jäckel-Riehl	gierschnerjosefa	966-26-4136	2024-03-30	553
	(Decimal('-37.338847'), Decimal('127.455553'))	A-	Designer, jewellery	ipanicucci@fastwebnet.it	1938		Bertoli-Ajello SPA	Vittoria Travaglio	iannucciilaria	ZMNLDC31P01C085G	2020/01/13	675
	(Decimal('-67.215457'), Decimal('66.618952'))	AB-		valeriehecker@gmx.de	2077		Wulf Tintzmann GmbH	Heidelore Lange B.Sc.	gotthardegon	191-90-9220	06/27/2021, 00:00:00	420
	(Decimal('84.7599725'), Decimal('-116.895211'))	B+		pierangelo44@libero.it	1583	1948-08-11	Mazzacurati Group	Dott. Giuseppina Gaggini	gmagnani	MRSGRL80B29G804S	09/08/2019, 00:00:00	658
	(Decimal('17.028739'), Decimal('136.635706'))	O+		uhernandez@gmail.com	602		Harris Inc	Derrick Wilson	shawnwalker	365-67-3036	2022/04/27	245
	(Decimal('10.5296875'), Decimal('-102.092490'))	A+	Rural practice surveyor	ronaldo45@vodafone.it	829		Chinnici-Trevisan e figli	Gelsomina Carducci	zsagredo	BRSNNI36S01E863B	2019-08-06	169
	(Decimal('-4.0643635'), Decimal('24.236702'))	O+		moreirayan@bol.com.br	937		Pacheco da Costa Ltda.	Lorena Camargo	rafaelrodrigues	14907285620	2025/07/12	679
	(Decimal('77.7465835'), Decimal('40.966693'))	A+	公認会計士	uhayashi@gmail.com	1028	1990-12-09	小林建設株式会社	中村 知実	hishii	562-26-6145	2023/09/28	145
	(Decimal('-35.6024525'), Decimal('168.228382'))	O-	Geriatra	francisco21@yahoo.com.br	64	1926-01-18	Pastor Ltda.	Milena Siqueira	joao-lucas66	83251749609	18 Aug 2025	68
	(Decimal('28.0991125'), Decimal('-111.850465'))	O+		okruschwitz@web.de	1782		Geißler GmbH	Tomislav Dehmel	thorstenbohlander	589-64-1225	05/15/2025, 00:00:00	498
	(Decimal('-19.006326'), Decimal('120.084286'))	A+		ahmet57@web.de	561	1938-04-11	Rohleder Winkler AG	Joachim Scholtz	susanna56	147-17-1079	2023/03/09	103
	(Decimal('12.863553'), Decimal('43.866171'))	O+		contarinipaloma@hotmail.it	485		Pedroni-Boccaccio Group	Arturo Cavalcanti	massimiliano43	PRTSTN32E09L693E	2025/04/09	657
	(Decimal('-43.699982'), Decimal('118.448990'))	A-	Dublê	da-luzliam@bol.com.br	189	1929-05-17	Costela	Srta. Sarah Gomes	gomesbella	10872936422	2021/04/05	332
	(Decimal('-53.5213995'), Decimal('129.725174'))	AB-		gjesus@hotmail.com	1415		Pereira Rios - EI	Ana Cecília Siqueira	camargoanthony	92315086442	2024-08-12	566
	(Decimal('-7.548524'), Decimal('45.725719'))	AB-		girolamolopresti@tim.it	1751	1975-01-17	Tirabassi, Sibilia e Bignami s.r.l.	Giuliana Molesini	tognazziciro	MDRZEI38T51B129Z	11/26/2024, 00:00:00	377
	(Decimal('49.8462035'), Decimal('142.243538'))	O-		otaviovargas@yahoo.com.br	1500	1937-03-28	da Cruz	Ana Teixeira	pedro-miguel34	48572390197	18 Jan 2025	633
	(Decimal('15.8957105'), Decimal('-147.761440'))	A+		ashley57@yahoo.com	9	1910-01-08	Kennedy, Fitzpatrick and Alvarado	Brian Frazier	annereynolds	555-36-5533	2022-01-08	463
	(Decimal('-25.669796'), Decimal('-175.311672'))	B-		nalves@hotmail.com	206		Viana	Dr. Otávio da Mota	leoabreu	71438265026	03/31/2023, 00:00:00	181
	(Decimal('-30.5943805'), Decimal('31.908258'))	A-	イラストレーター	inakamura@hotmail.com	1131		合同会社坂本情報	木村 太郎	taichisato	753-08-5603	2021-10-15	547
	(Decimal('-56.939520'), Decimal('-52.441612'))	O+	Equities trader	flaviascamarcio@libero.it	139		Folliero-Bazzi Group	Sandro Santorio	nicojilani	BRNRNF54S55H501Q	2025/09/03	694
	(Decimal('31.2119885'), Decimal('70.963457'))	B+		fanderson@yahoo.com	1871		Branch, Wilson and Smith	Cynthia Robbins	alicemiller	737-62-1426	02 Mar 2019	170
	(Decimal('-18.264465'), Decimal('-28.590031'))	B-		barkholzhans-georg@gmail.com	1807	1991-05-15	Warmer GmbH & Co. KG	Valerij Wende	wulfeugenia	358-37-6094	2020/06/13	183
	(Decimal('28.828667'), Decimal('-1.288740'))	AB+		xyamamoto@gmail.com	1186		合同会社田中建設	藤田 洋介	akirakobayashi	259-87-4166	2024/10/11	465
	(Decimal('-84.900512'), Decimal('-103.004875'))	A-		whitejoseph@hotmail.com	532	2021-07-27	Beard, Cardenas and Stark	Marvin Hernandez	lynn62	184-08-0593	2023-02-02	362
	(Decimal('-72.1047905'), Decimal('-35.006950'))	O+		gmoccia@gmail.com	680		Gremese-Naccari s.r.l.	Delfino Montalcini	ronaldo14	CHNVNI79T60D007T	2019/02/03	482
		AB-	Engenheiro de manufatura	rafael06@yahoo.com.br	1730		Fogaça	Pedro Lucas Teixeira	ceciliamarques	02963871422	05/15/2021, 00:00:00	241
	(Decimal('88.783844'), Decimal('-55.449344'))	B+	Designer, ceramics/pottery	romagnolivanessa@fastwebnet.it	750		Monicelli SPA	Antonella Manzoni	ugomocenigo	LVTRAI04M16F985V	2024/04/08	313
	(Decimal('-10.2703225'), Decimal('-178.623042'))	O+		marcantonio77@libero.it	1066	1954-06-05	Agostini e figli	Sig.ra Caterina Trapanese	ftonisto	VSPLRA18S23E618O	2023-05-30	74
	(Decimal('66.8620875'), Decimal('-106.056789'))	A+		sfritsch@aol.de	511	1957-08-05	Aumann Häring AG	Sonia Eigenwillig	xgute	387-47-8265	05/28/2022, 00:00:00	714
	(Decimal('-80.0823895'), Decimal('-112.590577'))	O-		carriestone@gmail.com	625	1911-09-02	Cook-Long	Sara Taylor	jeremymontgomery	209-02-8707	22 Oct 2022	489
	(Decimal('37.842932'), Decimal('103.754695'))	O+	作曲家	hiroshi24@gmail.com	414	1998-08-12	佐々木食品株式会社	渡辺 翔太	sasakimanabu	590-83-8691	12/21/2024, 00:00:00	197
	(Decimal('-3.4991255'), Decimal('178.706807'))	B-		camilla87@web.de	1519		Wilmsen	Luisa Kühnert-Lübs	leanderspeer	260-18-0282	04/19/2022, 00:00:00	125
	(Decimal('-61.8490665'), Decimal('31.559898'))	B-	Chartered accountant	tafuripatrizia@tim.it	1927	1919-11-24	Manzoni, Bergoglio e Ludovisi SPA	Rosina Tonisto	soranzomartino	CTLSRN93A24A041E	19 Jul 2020	282
	(Decimal('-39.976152'), Decimal('94.772966'))	A+		qtamborini@gmail.com	1748		Pagnotto-Cerquiglini SPA	Umberto Parpinel	otomei	BRSGSN35C61F677X	2020/08/26	694
	(Decimal('-37.9746045'), Decimal('-117.682149'))	A-		gundolf18@gmail.com	779	1931-04-25	Kreusel GmbH	Ing. Marc Misicher MBA.	aline86	960-62-2845	04/08/2024, 00:00:00	57
	(Decimal('-6.2158305'), Decimal('41.684955'))	O+		vnohlmans@hotmail.de	387		Neuschäfer Buchholz KG	Karl-Peter Ziegert	bdrewes	428-68-1962	2020/04/14	492
	(Decimal('48.4762245'), Decimal('14.090695'))	A+		manabunakamura@gmail.com	195	2013-01-14	坂本食品合同会社	鈴木 晃	kazuya94	236-25-2275	2022/04/16	592
	(Decimal('-24.5952345'), Decimal('-172.466514'))	B-	Terapeuta floral	benicio91@ig.com.br	814		Rios Aragão e Filhos	Clarice Mendonça	caio60	93150462770	2020/08/27	253
	(Decimal('67.7377055'), Decimal('-84.826582'))	B-		serpilheinz@gmx.de	345	1925-08-23	Klapp	Stephanie Johann	seideldavid	969-29-7975	03 Jun 2019	438
	(Decimal('86.960099'), Decimal('58.197767'))	AB+		marianasouza@yahoo.com.br	1406		Moreira	Dom Andrade	zviana	96158327409	2020-08-18	151
	(Decimal('-60.4621045'), Decimal('94.971011'))	B-		eleanoratraversa@hotmail.it	1363		Sansoni Group	Paoletta Alfonsi	baldassarebocca	RSSCML89P56I316V	11/07/2022, 00:00:00	749
	(Decimal('75.676660'), Decimal('60.274387'))	A+	Theme park manager	andrea41@yahoo.com	357	1958-11-01	Duncan-Lopez	Rachel Ruiz	raymond67	740-64-0664	2023/05/01	692
	(Decimal('-74.7452285'), Decimal('11.276727'))	O-		nicolettimarisa@virgilio.it	1056		Bellini-Piazzi e figli	Ilaria Fiorucci	parisitonino	TRZGRN57C56E252P	21 May 2019	263
	(Decimal('-39.528095'), Decimal('54.975501'))	A+		ljones@yahoo.com	401		Smith-Hunter	Mr. Michael Jones	amberhouston	803-37-4352	2022/09/29	521
	(Decimal('-33.811449'), Decimal('105.485018'))	AB-		stellagottardi@gmail.com	140		Chiaramonte SPA	Liana Fermi	pluria	DNOMLI95T41I799Y	2022/05/03	250
	(Decimal('71.9353005'), Decimal('23.870174'))	O+		carlos84@hotmail.com	20	1977-06-06	Lewis-Anderson	Jay Smith	velezwilliam	430-51-6698	2025-06-11	670
	(Decimal('10.8796235'), Decimal('-121.106585'))	A+		dmiranda@hotmail.com	867	1968-03-23	Smith, Gonzalez and Cherry	Patrick Welch	ewatts	102-27-2004	2019/08/19	265
	(Decimal('58.511737'), Decimal('-88.735058'))	B+		ssasaki@yahoo.com	2071	2009-07-09	合同会社斎藤建設	佐藤 洋介	ryosuketakahashi	892-04-0661	2020/01/16	698
	(Decimal('34.491570'), Decimal('50.225460'))	O-	Engenheiro de controle e automação	da-cruzheloisa@bol.com.br	864	1978-12-28	da Luz Mendes e Filhos	Ayla da Costa	vinicius31	52391706812	02/27/2021, 00:00:00	432
	(Decimal('7.4704565'), Decimal('-111.720771'))	O+		lawrencekelley@hotmail.com	1737		Burns-Ibarra	Kristina Walker	ernestjames	863-16-7884	08/09/2019, 00:00:00	125
	(Decimal('80.6219415'), Decimal('148.544336'))	A-	Scientist, clinical (histocompatibility and immunogenetics)	tartagliadaria@tin.it	91	2010-02-09	Antonello, Brancaccio e Pederiva s.r.l.	Sig.ra Teresa Zanazzo	bocelligiada	LGHRMD26M52G994T	2025-06-05	88
	(Decimal('22.8441315'), Decimal('-155.823448'))	A+	Lecturer, higher education	pierangelo44@libero.it	1390	1974-10-22	Mastroianni-Pascarella Group	Dott. Dario Luria	giustinofieramosca	BLLLGO37R24L937K	11/01/2022, 00:00:00	542
	(Decimal('-57.2918575'), Decimal('-63.483158'))	AB-	Programmierer	gotthardnikola@gmx.de	1385	1986-12-20	Gorlitz Beier AG	Jacob Renner	mtaesche	302-57-8533	2024/04/22	701
	(Decimal('84.093197'), Decimal('-29.756033'))	AB+		rodriguesemanuelly@ig.com.br	1264	1965-01-11	Carvalho Novaes - ME	Henry Cavalcanti	saanthony	29580376492	2019/04/14	422
	(Decimal('-26.338002'), Decimal('111.020379'))	O+		stadelmannalina@aol.de	902		Gotthard	Sibylle Löwer B.A.	dominik07	299-79-2469	03 May 2020	607
	(Decimal('18.8442095'), Decimal('46.601481'))	O-		larryyoung@hotmail.com	1879		Munoz-Sweeney	Anthony Collier	richardsonangel	608-12-9648	2022-12-07	414
		O-		wilsonjoseph@hotmail.com	1017	1931-12-20	Weaver-Bowman	Adrian Kelley	johnsontammy	865-37-6673	2023-02-28	370
	(Decimal('-10.257101'), Decimal('-38.844523'))	B+	Systems analyst	eborromeo@tin.it	929	1954-09-26	Finzi-Soprano SPA	Maurizio Romiti	norbiatoarnulfo	MRLRBT43M27C719J	04 Sep 2022	353
		B-		anthony34@gmail.com	559		Evans and Sons	Jennifer Sanchez	steven95	741-52-2973	15 May 2021	516
	(Decimal('-12.236308'), Decimal('12.086288'))	AB+	Rural practice surveyor	carrillodrew@yahoo.com	770		Gutierrez-Johns	Kenneth Cummings	hannah70	492-40-8747	12/09/2024, 00:00:00	603
	(Decimal('87.773985'), Decimal('-14.379170'))	O-	Engineer, civil (contracting)	marisa81@libero.it	422		Miniati, Treccani e Farnese e figli	Dott. Beppe Muratori	endrizzirossana	CFRDRA54H66D038G	01/05/2020, 00:00:00	121
	(Decimal('4.0798225'), Decimal('62.581345'))	B-		pereiraheitor@yahoo.com.br	1887	2019-09-12	Guerra	Benício Melo	lda-rosa	39648057184	20 Nov 2024	310
	(Decimal('44.243537'), Decimal('151.693077'))	B+		michael17@yahoo.com	841		Hernandez, Schultz and Medina	Sandy Cline	wnelson	349-63-2817	21 Sep 2024	40
	(Decimal('78.4417425'), Decimal('163.192579'))	AB-		daniel30@bol.com.br	631	1951-03-17	Freitas Dias e Filhos	Dra. Ana Clara Macedo	vicente55	64285319098	12/26/2022, 00:00:00	72
	(Decimal('-0.0700555'), Decimal('-83.815874'))	O-		smatsumoto@hotmail.com	1933		斉藤鉱業合同会社	伊藤 直人	chashimoto	253-25-4250	2025-07-30	250
	(Decimal('75.6930925'), Decimal('-107.135039'))	AB+	Private music teacher	ivovendetti@gmail.com	1045	1922-08-22	Borsiere-Pergolesi e figli	Giovanni Procacci-Armani	astradivari	TGLMRA36D54L787B	2020/08/09	709
	(Decimal('53.2285115'), Decimal('16.736525'))	O+	Friseur	heinrichannedore@googlemail.com	1048	1989-01-09	Schüler GmbH & Co. KG	Karlheinz Lehmann	etrueb	504-19-5221	2023/12/25	424
	(Decimal('13.7829765'), Decimal('-118.982193'))	AB+		bbernardini@libero.it	2002	1996-05-16	Crespi, Fo e Palumbo SPA	Evangelista Cipolla	vittorio86	MNTRCT97B51C872W	03/13/2022, 00:00:00	111
	(Decimal('12.0832375'), Decimal('16.361040'))	O+		amberwilliams@yahoo.com	1155		Jones LLC	Beth Rogers	andersontammy	242-05-9292	2021-05-29	708
	(Decimal('-33.793221'), Decimal('86.040100'))	A+	Illustrator	vparri@alice.it	1624		Fogazzaro, Monteverdi e Zoppetti e figli	Ninetta Renault	favatalina	MSTLLD95C47M401L	2019-09-15	744
	(Decimal('50.7742765'), Decimal('-43.849053'))	AB-		fda-cunha@bol.com.br	1430	1968-08-01	Abreu	Danilo da Mata	knascimento	85274961355	21 May 2023	333
	(Decimal('-53.0326205'), Decimal('-166.601298'))	AB+	Rural practice surveyor	picciopasqual@gmail.com	1099	1991-08-28	Manzoni, Sobrero e Gussoni e figli	Dott. Angelica Poerio	hferraris	MRLSMN34L58F618L	03/06/2025, 00:00:00	514
	(Decimal('32.259309'), Decimal('-10.915535'))	AB+		kobayashitaichi@hotmail.com	1983	1923-08-13	山下電気有限会社	井上 翼	einoue	516-77-5563	2024-01-02	183
	(Decimal('-80.169435'), Decimal('120.822162'))	B-	Financial controller	bryanthomas@hotmail.com	2051	2011-09-29	Andrade and Sons	Peter Mitchell DDS	warren26	543-11-2708	2024/06/28	610
	(Decimal('-13.221318'), Decimal('142.639119'))	A+		graziano92@gmail.com	1553		Onisto-Speri s.r.l.	Alphons Medici-Vigorelli	vincenzo93	BGTMLN54R05G456S	04 May 2023	382
	(Decimal('-48.566858'), Decimal('87.241131'))	O+		satokazuya@gmail.com	766	1965-11-26	高橋食品合同会社	井上 直樹	ryosuke32	196-55-4610	03/19/2019, 00:00:00	654
	(Decimal('52.7371085'), Decimal('-113.507682'))	B+	Ambulance person	monica01@virgilio.it	425		Trentini, Infantino e Dovara Group	Fortunata Cuzzocrea	balbopomponio	FBRNNI82S03I893Q	2018-09-30	617
	(Decimal('-8.3018785'), Decimal('25.578095'))	B+		yendo@yahoo.com	406	1933-09-06	有限会社石川保険	中村 花子	psuzuki	171-74-6897	2020-10-08	186
	(Decimal('25.7870855'), Decimal('104.759509'))	B-		zamoratonya@yahoo.com	1745	1912-01-29	Woods, Mcdonald and Newman	Lisa Boyer	ediaz	858-79-8776	2019-12-16	585
		O-	Communications engineer	jason04@hotmail.com	293		Prince-Peck	Thomas Nash	jenniferturner	701-72-6001	07/30/2019, 00:00:00	115
	(Decimal('13.696037'), Decimal('-124.150601'))	AB-		ipimenta@hotmail.com	1750		Dias S/A	Davi Lucca Abreu	arthur-gabriel68	73419582609	2022/10/01	736
	(Decimal('-46.702569'), Decimal('-158.567643'))	B-		agathafreitas@gmail.com	122	1949-09-21	Costa - ME	Davi Lucas Vasconcelos	oda-mota	35149786209	15 Aug 2020	633
	(Decimal('-52.900886'), Decimal('127.519930'))	AB-		marcushoevel@aol.de	1229	1931-06-25	Trubin Dörschner AG & Co. OHG	Ivan Pieper B.Sc.	roehrichtkaspar	597-75-0017	07/14/2020, 00:00:00	541
	(Decimal('-29.3259235'), Decimal('-81.204240'))	B-	Cineasta	theosa@uol.com.br	1854		Cardoso - ME	Maria Câmara	igor10	45293701606	02/08/2023, 00:00:00	207
	(Decimal('-85.413291'), Decimal('106.354059'))	B+		leonhard22@yahoo.de	126	2014-02-15	Mentzel Bohnbach AG	Ulrich Pärtzelt	dorotheeritter	102-76-2499	2020/05/18	191
	(Decimal('-22.679361'), Decimal('-161.012166'))	B+		stefano64@yahoo.com	1029		Guidotti SPA	Baccio Dallara	tporcellato	ZRLTTV27S61F201I	21 Aug 2024	435
		B+		hceci@gmail.com	1640	2000-03-13	Perozzo SPA	Sig. Atenulf Sobrero	geronimo31	SMRNCT77S23L403L	01 Jul 2021	286
	(Decimal('42.8676715'), Decimal('71.138081'))	AB-	Exhibition designer	pierguicciardini@libero.it	1815	1937-02-02	Pellegrini-Galeati SPA	Ippazio Casagrande-Giusti	maurilio51	MFFSLT22T59E493X	01 Dec 2018	503
	(Decimal('72.1629415'), Decimal('0.571645'))	A-		nataliaalmeida@yahoo.com.br	1726		Moraes e Filhos	Ana Júlia Pires	xsa	26541987076	28 Oct 2021	23
	(Decimal('63.576854'), Decimal('-169.568349'))	O+		lavinia26@bol.com.br	371		Silveira	Kevin Vieira	silveiraaurora	98214753023	11/25/2018, 00:00:00	490
	(Decimal('9.0661675'), Decimal('135.666677'))	A+		armandovilladicani@vodafone.it	837		Nicolucci s.r.l.	Rocco Pucci-Callegari	borronitoni	PDRNNZ78C30L013W	05 Nov 2020	81
	(Decimal('-64.834035'), Decimal('158.459490'))	B-	Haematologist	greenmegan@hotmail.com	1585	2013-04-15	Glenn, Haynes and Collins	Tyler Howell	isaacmoore	229-96-5051	31 Jul 2025	309
	(Decimal('17.553952'), Decimal('-17.399258'))	O-		diasravi@uol.com.br	529	2001-08-12	Teixeira	Miguel Camargo	csales	64802915306	2020-05-04	610
	(Decimal('41.806475'), Decimal('96.374461'))	B-	裁判官	sotaro15@hotmail.com	1924	1967-02-10	合同会社山崎水産	鈴木 健一	momokokobayashi	854-45-1966	2025-09-23	567
	(Decimal('-8.8694245'), Decimal('-53.288340'))	B+	Médico	calbuquerque@ig.com.br	1737	1929-10-22	Casa Grande	Lívia Pimenta	ugomes	42095718658	09/29/2024, 00:00:00	338
	(Decimal('-64.457066'), Decimal('-49.178106'))	B-		yumikoishikawa@hotmail.com	148	2015-08-07	合同会社中島食品	山口 あすか	maayasaito	104-40-1624	2023-04-13	463
	(Decimal('-45.966204'), Decimal('-147.084541'))	O+	Guarda roupeiro	hcasa-grande@uol.com.br	1259		Viana	Rafael Brito	emanuella25	46781053957	2020-07-12	399
		AB+	Salva-vidas	benjamim19@yahoo.com.br	294		Silveira e Filhos	Nathan Cavalcanti	gael39	72098654383	27 Mar 2020	427
	(Decimal('72.149286'), Decimal('83.639779'))	A+		blake92@yahoo.com	35	1933-01-07	Gray-Bell	Tammy Nielsen	ywilson	314-90-6225	17 Dec 2018	494
	(Decimal('-20.970416'), Decimal('35.592530'))	B-		bjuettner@gmx.de	1590		Schönland GmbH & Co. KGaA	Gerard Sölzer MBA.	nmitschke	025-69-6139	2020/09/09	427
	(Decimal('-86.2471765'), Decimal('123.330473'))	B-		rwaehner@gmail.com	803		Speer Freudenberger Stiftung & Co. KG	Calogero Sontag-Salz	gesa67	929-38-3264	2024/12/01	531
	(Decimal('-26.6159585'), Decimal('-65.997424'))	A+		sagnellilodovico@tiscali.it	1006		Tanzini-Boccherini e figli	Tiziana Meucci	ipasqua	CNLLDN43T50I738C	2022/12/06	57
	(Decimal('58.7562515'), Decimal('-163.404806'))	A-		donna25@fastwebnet.it	2082	1958-11-06	Tosto, Giusti e Bellucci e figli	Leone Giannelli-Calbo	rizzoliemilio	GLTTRS70H06D836S	2021-01-20	326
	(Decimal('82.8182545'), Decimal('-157.158611'))	AB-	Librarian, academic	montanarielloserena@gmail.com	1355	2012-06-30	Praga, Sabbatini e Siffredi s.r.l.	Sonia Babati-Bergoglio	romolo49	MLNGBL90T42G438R	04 Oct 2024	456
	(Decimal('80.4381395'), Decimal('26.202197'))	A-	Psychologist, occupational	bernard98@yahoo.com	1985	1937-10-15	Shepherd-Kennedy	James Cobb	rosemichaela	442-55-1379	08/15/2025, 00:00:00	686
	(Decimal('-63.119675'), Decimal('18.466174'))	A+	公認会計士	fujiwarataichi@gmail.com	1370	2017-02-27	合同会社山崎ガス	吉田 明美	hashimotohanako	396-22-5343	03/27/2025, 00:00:00	179
	(Decimal('50.603588'), Decimal('119.937766'))	AB-		rei01@hotmail.com	1153		坂本電気株式会社	木村 陽子	yosuke09	148-81-6507	11/06/2020, 00:00:00	606
	(Decimal('-64.394386'), Decimal('-17.581671'))	AB+		helfriedneuschaefer@web.de	68	1976-04-25	Bohnbach Rogge GmbH	Agathe Jopich MBA.	sara47	850-87-3686	08/20/2024, 00:00:00	120
	(Decimal('-37.4676985'), Decimal('-44.251143'))	B-		cfoerster@web.de	1192	1954-12-03	Scholtz Patberg GmbH	Dina Stiffel	xsegebahn	598-35-1416	2025/03/03	285
	(Decimal('57.868479'), Decimal('87.495266'))	A+		alban03@aol.de	405		Eckbauer Kensy GmbH	Dr. Insa Kruschwitz	rebeccakeudel	107-50-9193	2022-01-19	375
	(Decimal('88.6364485'), Decimal('17.537426'))	B+		hyoshida@hotmail.com	783		有限会社松本情報	高橋 英樹	kana74	635-40-1598	19 Apr 2021	463
	(Decimal('-64.857134'), Decimal('149.399052'))	O+	Friseur	gseip@gmx.de	1204		Steinberg Mielcarek AG	Wolf-Dieter Dobes MBA.	hartungalbertine	021-74-6488	2019-10-15	770
	(Decimal('26.2988075'), Decimal('158.930713'))	B-	電気工事士	kumikonakajima@yahoo.com	1316		株式会社阿部ガス	吉田 稔	momokoogawa	774-24-8922	2024-12-18	532
		A+		barthmilka@yahoo.de	1830		Matthäi	Ing. Ladislaus Gerlach B.Eng.	dunjahartung	507-51-4680	2023-06-23	462
	(Decimal('1.6196115'), Decimal('-179.828033'))	O-		steelejohn@yahoo.com	1587		Oneal-Rich	Angela Haynes	xpratt	438-51-9160	24 Jun 2020	347
	(Decimal('32.893823'), Decimal('69.227306'))	O-		xgualandi@gmail.com	1421	1913-01-30	Rienzo e figli	Sig. Puccio Moccia	hmaggioli	ZCCLND10E65F813U	2023/11/11	531
		A+		iannuzzigianfrancesco@poste.it	1563	1957-10-24	Malacarne-Condoleo Group	Alphons Gaggini	pierluigi76	CBRNNR98B12C702T	2024-06-27	301
	(Decimal('83.2661165'), Decimal('-53.067251'))	O+		hayashinanami@hotmail.com	249		株式会社鈴木食品	伊藤 加奈	sotaro75	628-26-7305	2021-12-24	444
	(Decimal('22.615352'), Decimal('12.211842'))	A+	Scientist, research (life sciences)	ochoarebecca@gmail.com	1915	1954-06-24	Garrett, Waters and Carter	Megan Turner	andrewwood	893-35-9043	2020-11-05	8
	(Decimal('-1.018617'), Decimal('68.869752'))	AB-	Secondary school teacher	michael60@yahoo.com	1045		Williams, Anderson and Edwards	Calvin Logan	michellenash	435-45-8580	12/22/2019, 00:00:00	580
	(Decimal('47.922809'), Decimal('-34.737978'))	B-		amedeo23@alice.it	1436	1972-03-12	Zoppetto-Siffredi e figli	Amalia Panzera-Cuda	htaliercio	PNMCTN70D30L096X	12/17/2018, 00:00:00	460
	(Decimal('-2.868526'), Decimal('-166.857856'))	O-		nhinton@yahoo.com	1255		Miller, Orr and Wright	Karen Russell	abridges	355-73-6249	12 Sep 2025	227
	(Decimal('24.3670165'), Decimal('6.405002'))	B+		naokosasaki@hotmail.com	1154		合同会社渡辺水産	田中 健一	minoru89	763-36-9040	2020-12-29	560
	(Decimal('44.396500'), Decimal('157.973005'))	B+		mikakokobayashi@yahoo.com	435	1975-11-21	有限会社伊藤水産	加藤 美加子	hanako57	174-74-3525	2022-12-05	351
	(Decimal('33.352508'), Decimal('19.733276'))	O+	小説家	nanami55@yahoo.com	1021	1933-02-06	株式会社吉田電気	藤原 学	ukimura	238-43-5425	01 Jan 2022	751
	(Decimal('-10.5040515'), Decimal('121.134887'))	AB-	花火師	kondotaro@hotmail.com	2087	1931-01-15	青木建設有限会社	山本 亮介	naoto70	017-38-7171	2020/06/25	92
	(Decimal('-70.611338'), Decimal('-123.934304'))	B-		sieglindekrause@aol.de	837	1991-01-22	Siering Henschel AG	Wilfriede Schlosser B.Sc.	wilmsenmartin	779-56-3941	06/15/2022, 00:00:00	403
	(Decimal('81.052643'), Decimal('-8.448387'))	A+		harriswilliam@gmail.com	387	1958-07-05	Ruiz-Clark	Timothy Gregory	carrolleric	027-63-5542	2021/08/20	404
	(Decimal('10.698237'), Decimal('145.697157'))	AB+		yosuke23@hotmail.com	2056		合同会社山崎水産	三浦 春香	kito	425-72-9393	12/13/2022, 00:00:00	613
	(Decimal('-72.1528105'), Decimal('44.073273'))	O+		argentodamiano@gmail.com	1332	1993-09-28	Merisi-Cantimori e figli	Sergius Oscuro	corradofioravanti	TLDGNL64E46F140W	01/04/2022, 00:00:00	192
	(Decimal('-11.1043735'), Decimal('17.192952'))	AB-		yoko08@yahoo.com	1968	2000-05-29	長谷川建設有限会社	福田 花子	yosukeaoki	876-32-7528	2019-10-20	444
